,reviewerid,authorcomments,total_sum,title,keywords,abstract,accept
2432,9020,"The parameters values are given in Table 1. The capacity of different  areas(MW)  should be mentioned. Base MVA should also be mentioned as per unit values are shown in different figures.  Proper organization of different chapters are necessary. Suddenly figures appear (Fig. 3 to Fig.7) inside the  chapter 3.  All figures and Tables will follow their corresponding explanation. In article 4.1, frequency deviations with and without PHEV are analyzed. There is a little steady state error. But the amountload change is not mentioned. Where is this load change occurs?  Step load change from 0.05 to 0.2 pu, is too much.  In figure Fig. 5, large steady state errors are observed. Since all multi area systems are equipped with AGC, the proper value of KI normally nullifies the steady state error. ",19.0,Model Predictive Control Framework Design for Frequency Regulation of PHEVs Participating in Interconnected Smart Grid,"Smart Grid, Frequency control, MPC controller, Plug-in hybrid electric vehicles",This paper presents the design of discrete time model predictive controller (MPC) for frequency regulation of multi-area interconnected smart grid. The design of the controller is done for multi area tie-in smart grid populated with PHEVs. The controller is designed based on discrete values function which can ensure high performance of frequency regulation of smart grid. The aim of designing the controller is to stabilize frequency fluctuation in a nominal range. The robustness is tested by considering different load and uncertainties. The performance is evaluated by using Matlab Simulink. The simulation results show that the proposed controller ensures high tracking performance for frequency stabilization of smart grid.,1
2433,9372,Not mendatory but it should check again if any mistake is present,24.0,Model Predictive Control Framework Design for Frequency Regulation of PHEVs Participating in Interconnected Smart Grid,"Smart Grid, Frequency control, MPC controller, Plug-in hybrid electric vehicles",This paper presents the design of discrete time model predictive controller (MPC) for frequency regulation of multi-area interconnected smart grid. The design of the controller is done for multi area tie-in smart grid populated with PHEVs. The controller is designed based on discrete values function which can ensure high performance of frequency regulation of smart grid. The aim of designing the controller is to stabilize frequency fluctuation in a nominal range. The robustness is tested by considering different load and uncertainties. The performance is evaluated by using Matlab Simulink. The simulation results show that the proposed controller ensures high tracking performance for frequency stabilization of smart grid.,1
2434,8224,0,22.0,Yttrium Barium Copper Oxide Superconductor Used in a Linear Generator for High Power Generation from the Oceanic Wave,"Flux switching, linear generator; oceanic wave; permanent magnet; superconductor; wave energy conversion","Most of the existing linear generators uses ordinary copper winding that results in low amount of electrical power generation from the oceanic wave. This paper proposes a high performance permanent magnet flux switching linear generator (PMFSLG) in which a high temperature superconductor, Yttrium Barium Copper Oxide is used for winding. The generated voltage, load current, magnetic flux linkage, and output power of the PMFSLG are shown in detail. Simulation results show that, the proposed PMFSLG has better flux linkage, can generate more output voltage, and power than that of the conventional one.",1
2437,8304,"The authors should improve the quality of the paper by addressing following comments.

The abstract should be include methodology, results of the paper.
The references cited in text should be arranged in a serial.
The methodology of the design should be added in this paper.
No software name is given in the entire paper by which the work was performed. 
The properties of YBCO should be included in introduction section for more clarification.
",19.0,Yttrium Barium Copper Oxide Superconductor Used in a Linear Generator for High Power Generation from the Oceanic Wave,"Flux switching, linear generator; oceanic wave; permanent magnet; superconductor; wave energy conversion","Most of the existing linear generators uses ordinary copper winding that results in low amount of electrical power generation from the oceanic wave. This paper proposes a high performance permanent magnet flux switching linear generator (PMFSLG) in which a high temperature superconductor, Yttrium Barium Copper Oxide is used for winding. The generated voltage, load current, magnetic flux linkage, and output power of the PMFSLG are shown in detail. Simulation results show that, the proposed PMFSLG has better flux linkage, can generate more output voltage, and power than that of the conventional one.",1
2440,8977,"
Check grammatical errors
Stickly follow the IEEE guidelines
",18.0,Yttrium Barium Copper Oxide Superconductor Used in a Linear Generator for High Power Generation from the Oceanic Wave,"Flux switching, linear generator; oceanic wave; permanent magnet; superconductor; wave energy conversion","Most of the existing linear generators uses ordinary copper winding that results in low amount of electrical power generation from the oceanic wave. This paper proposes a high performance permanent magnet flux switching linear generator (PMFSLG) in which a high temperature superconductor, Yttrium Barium Copper Oxide is used for winding. The generated voltage, load current, magnetic flux linkage, and output power of the PMFSLG are shown in detail. Simulation results show that, the proposed PMFSLG has better flux linkage, can generate more output voltage, and power than that of the conventional one.",1
2446,9268,Authors may add more simulation results and may improve the writing as well.,27.0,Yttrium Barium Copper Oxide Superconductor Used in a Linear Generator for High Power Generation from the Oceanic Wave,"Flux switching, linear generator; oceanic wave; permanent magnet; superconductor; wave energy conversion","Most of the existing linear generators uses ordinary copper winding that results in low amount of electrical power generation from the oceanic wave. This paper proposes a high performance permanent magnet flux switching linear generator (PMFSLG) in which a high temperature superconductor, Yttrium Barium Copper Oxide is used for winding. The generated voltage, load current, magnetic flux linkage, and output power of the PMFSLG are shown in detail. Simulation results show that, the proposed PMFSLG has better flux linkage, can generate more output voltage, and power than that of the conventional one.",1
2447,9344,"This paper proposes Yttrium Barium Copper Oxide based winding for a permanent magnet flux switching linear generator (PMFSLG) that is expected to use for energy conversion from the oceanic wave. The authors already presented this concept in their previous articles. But this article presents some additional simulation results for the voltage, load current, magnetic flux linkage, and output powerof their proposed generator, which I think worthy to be presented in the conference. ",22.0,Yttrium Barium Copper Oxide Superconductor Used in a Linear Generator for High Power Generation from the Oceanic Wave,"Flux switching, linear generator; oceanic wave; permanent magnet; superconductor; wave energy conversion","Most of the existing linear generators uses ordinary copper winding that results in low amount of electrical power generation from the oceanic wave. This paper proposes a high performance permanent magnet flux switching linear generator (PMFSLG) in which a high temperature superconductor, Yttrium Barium Copper Oxide is used for winding. The generated voltage, load current, magnetic flux linkage, and output power of the PMFSLG are shown in detail. Simulation results show that, the proposed PMFSLG has better flux linkage, can generate more output voltage, and power than that of the conventional one.",1
2449,9357,"1) The upper portion of Fig.1 is unnecessary.
2) Check the full section II of your paper, need references and proper figure
2) Need a proper description of Fig.4
3) In the result section, there are many errors in fig. number
4) I think the author didn’t produce the lattice structure shown in Fig.5, need the reference for that
5) The conclusion needs to be revised (There should be no new information)",25.0,Yttrium Barium Copper Oxide Superconductor Used in a Linear Generator for High Power Generation from the Oceanic Wave,"Flux switching, linear generator; oceanic wave; permanent magnet; superconductor; wave energy conversion","Most of the existing linear generators uses ordinary copper winding that results in low amount of electrical power generation from the oceanic wave. This paper proposes a high performance permanent magnet flux switching linear generator (PMFSLG) in which a high temperature superconductor, Yttrium Barium Copper Oxide is used for winding. The generated voltage, load current, magnetic flux linkage, and output power of the PMFSLG are shown in detail. Simulation results show that, the proposed PMFSLG has better flux linkage, can generate more output voltage, and power than that of the conventional one.",1
2451,9375,"The following issues need to be addressed:
1) A more extensive and detailed literature review should be incorporated.
2) There are a few grammatical errors and problems with sentence construction in the text.
3) Some of the references are not properly formatted.",17.0,Yttrium Barium Copper Oxide Superconductor Used in a Linear Generator for High Power Generation from the Oceanic Wave,"Flux switching, linear generator; oceanic wave; permanent magnet; superconductor; wave energy conversion","Most of the existing linear generators uses ordinary copper winding that results in low amount of electrical power generation from the oceanic wave. This paper proposes a high performance permanent magnet flux switching linear generator (PMFSLG) in which a high temperature superconductor, Yttrium Barium Copper Oxide is used for winding. The generated voltage, load current, magnetic flux linkage, and output power of the PMFSLG are shown in detail. Simulation results show that, the proposed PMFSLG has better flux linkage, can generate more output voltage, and power than that of the conventional one.",1
2458,9281,Author should concentrate more on the apache hadoop architecture. The comparison and justification of the research is poor. ,8.0,Distributed Recommender System Using Apache Hadoop,Machine learning; Recommender system; Collaborative filtering; Slope One; Big data; Hadoop; Map-Reduce.,"The consideration of data to be tantamount to oil in value in this information age can only get legitimacy if this data can to transformed into valuable insight. One of such valuable cognizance for data-driven applications is to find user preferences by analyzing data generated by user behavior. Recommender system is one of the information filtering techniques which provides recommendations based on personal preference, past behavior, similar choice of a user compared with other users. Recommender system is widely used by web applications for recommending books, movies, products, advertising, restaurants etc. Recommender systems has a great effect on increasing user involvement and experience but with the increase of data it has become increasingly complex and expensive to build reliable applications for fast and accurate recommendation as well as solving scalability problem. Our aim is to solve the scalability in recommender system which can play a vital role in applications with large user base if accuracy and fault tolerance can be maintained. Collaborative filtering technique in machine learning has been used extensively by Recommender systems, which uses user behaviors to predict future preferences of users in simple to complex datasets. In order to solve scalability issue associated with surge of data, we implemented collaborative filtering in Hadoop platform, using Map-Reduce parallel processing which can process petabytes of data in a continuous manner. We analyzed Map-Reduce and used it to build a scalable, fault tolerant and distributed Recommender system and improved the accuracy of prediction.",0
2460,9343,0,14.0,Distributed Recommender System Using Apache Hadoop,Machine learning; Recommender system; Collaborative filtering; Slope One; Big data; Hadoop; Map-Reduce.,"The consideration of data to be tantamount to oil in value in this information age can only get legitimacy if this data can to transformed into valuable insight. One of such valuable cognizance for data-driven applications is to find user preferences by analyzing data generated by user behavior. Recommender system is one of the information filtering techniques which provides recommendations based on personal preference, past behavior, similar choice of a user compared with other users. Recommender system is widely used by web applications for recommending books, movies, products, advertising, restaurants etc. Recommender systems has a great effect on increasing user involvement and experience but with the increase of data it has become increasingly complex and expensive to build reliable applications for fast and accurate recommendation as well as solving scalability problem. Our aim is to solve the scalability in recommender system which can play a vital role in applications with large user base if accuracy and fault tolerance can be maintained. Collaborative filtering technique in machine learning has been used extensively by Recommender systems, which uses user behaviors to predict future preferences of users in simple to complex datasets. In order to solve scalability issue associated with surge of data, we implemented collaborative filtering in Hadoop platform, using Map-Reduce parallel processing which can process petabytes of data in a continuous manner. We analyzed Map-Reduce and used it to build a scalable, fault tolerant and distributed Recommender system and improved the accuracy of prediction.",0
2461,8224,0,23.0,A Comparative  Study on  WtE Technologies  with  a Proposal  of  a  Green City  in Perspective of  a Developing Country,"Energy  security,  Environmental  cleanliness,  WtE technology,  Bangladesh,  Gasification,  Green-smart  city.","Currently,  energy  security  and  environmental cleanliness  is  becoming  an  important  concern  to  the  civilized world  due  to  increasing  population  and  global  warming,  which motiving  the  researcher  towards  finding  the  alternative  energy resources  instead  of  traditional  energy  source  for  power generation.  Now,  Waste-to-Energy  technology  (WtE)  has  earned a  great  deal  of  attention  in  developed  countries  such  as  USA, Malaysia,  Venezuela  and  Canada  for  effective  waste  management system.  It  can  also  be  used  to  address  the  energy  problems  in developing  countries  like  Bangladesh.  Even  though  there  are several  methods  of  WtE  technologies  but  still  finding  a  suitable technology  is  a  bargaining  issue.  Therefore,  this  study  aiming  at finding  more  suitable  and  effective  method  among  WtE technologies  in  perspective  of  our  country  economy,  energy efficiency,  and  environmental  aspects  that  can  sustain  with  our future  energy  demand.  The  study  result  shows  that  the Gasification-based  WtE  technology  is  the  more  suitable  method because  of  its  operation  flexibility,  lower  cost,  higher  efficiency, less  greenhouse  (GHG)  emissions,  and  simplicity  in  design.  Thus, the  energy  produced  in  this  method  can  contribute  significantly to  reduce  our  electricity  shortage  with  effective  waste management  system  and  can  be  a  building-block  of  a  greensmart  city.",0
2464,8304,"The topics is well suited and seems very much interesting. However according to technical merits the contribtuion is very poor. The authors should improve the quality and novelty of this paper by following these comments:

The information provided in paper should be recent and accurate. Sufficient refence should be given there. i.e in fig.1 ""total electricity access in bangladesh"" is not correct and no reference is given.
The data used in fig.2. is back dated. It should be more updated. 
The figure qualites are poor. it should improve.
There are lots of spelling and language errors in the paper.
The equations should be used by IEEE  guidelines.
The overall paper should be rearranged according to IEEE paper template instructuons.
The wte technologies are used already in different countries and it should be analyzed in more depth according to the technological, financial and environmental aspects. 
There is no discussion regarding financial merits, payback period, profitability index of this project for making it feasible.
Only analysis is performed based on few mathematical equations but there are several physical, environmnetal factors are asscociated with this project which is not in under consideration. 
Many researches were performed on this issue. so the authors should use recent reference for more clarification
",10.0,A Comparative  Study on  WtE Technologies  with  a Proposal  of  a  Green City  in Perspective of  a Developing Country,"Energy  security,  Environmental  cleanliness,  WtE technology,  Bangladesh,  Gasification,  Green-smart  city.","Currently,  energy  security  and  environmental cleanliness  is  becoming  an  important  concern  to  the  civilized world  due  to  increasing  population  and  global  warming,  which motiving  the  researcher  towards  finding  the  alternative  energy resources  instead  of  traditional  energy  source  for  power generation.  Now,  Waste-to-Energy  technology  (WtE)  has  earned a  great  deal  of  attention  in  developed  countries  such  as  USA, Malaysia,  Venezuela  and  Canada  for  effective  waste  management system.  It  can  also  be  used  to  address  the  energy  problems  in developing  countries  like  Bangladesh.  Even  though  there  are several  methods  of  WtE  technologies  but  still  finding  a  suitable technology  is  a  bargaining  issue.  Therefore,  this  study  aiming  at finding  more  suitable  and  effective  method  among  WtE technologies  in  perspective  of  our  country  economy,  energy efficiency,  and  environmental  aspects  that  can  sustain  with  our future  energy  demand.  The  study  result  shows  that  the Gasification-based  WtE  technology  is  the  more  suitable  method because  of  its  operation  flexibility,  lower  cost,  higher  efficiency, less  greenhouse  (GHG)  emissions,  and  simplicity  in  design.  Thus, the  energy  produced  in  this  method  can  contribute  significantly to  reduce  our  electricity  shortage  with  effective  waste management  system  and  can  be  a  building-block  of  a  greensmart  city.",0
2471,9268,Need to present more technical information including theoritical and practical issues considering the environment.,15.0,A Comparative  Study on  WtE Technologies  with  a Proposal  of  a  Green City  in Perspective of  a Developing Country,"Energy  security,  Environmental  cleanliness,  WtE technology,  Bangladesh,  Gasification,  Green-smart  city.","Currently,  energy  security  and  environmental cleanliness  is  becoming  an  important  concern  to  the  civilized world  due  to  increasing  population  and  global  warming,  which motiving  the  researcher  towards  finding  the  alternative  energy resources  instead  of  traditional  energy  source  for  power generation.  Now,  Waste-to-Energy  technology  (WtE)  has  earned a  great  deal  of  attention  in  developed  countries  such  as  USA, Malaysia,  Venezuela  and  Canada  for  effective  waste  management system.  It  can  also  be  used  to  address  the  energy  problems  in developing  countries  like  Bangladesh.  Even  though  there  are several  methods  of  WtE  technologies  but  still  finding  a  suitable technology  is  a  bargaining  issue.  Therefore,  this  study  aiming  at finding  more  suitable  and  effective  method  among  WtE technologies  in  perspective  of  our  country  economy,  energy efficiency,  and  environmental  aspects  that  can  sustain  with  our future  energy  demand.  The  study  result  shows  that  the Gasification-based  WtE  technology  is  the  more  suitable  method because  of  its  operation  flexibility,  lower  cost,  higher  efficiency, less  greenhouse  (GHG)  emissions,  and  simplicity  in  design.  Thus, the  energy  produced  in  this  method  can  contribute  significantly to  reduce  our  electricity  shortage  with  effective  waste management  system  and  can  be  a  building-block  of  a  greensmart  city.",0
2474,9357,"1) Too large Title
2) Abstract needs major revision (‘Waste-to-Energy technology (WtE) has earned a great deal of attention in developed countries such as USA, Malaysia, Venezuela and Canada for effective waste management system’- This section might be suitable for the introduction)
3) The first reference is not found.
4) Fig.1 bears no meaning as the author mentioned that information verbally
5)  Fig.2 needs the appropriate reference and it makes no sense about only 5 days duration.
6) The line below fig.2 there is an error with the figure name
7) Fig.3 and Fig.5 are redundant since the author gave this information in table1 and table 5 respectively
8) Equation 1 needs to be proper formatting
9) The table needs another column for the name of the features
10) Why the author describes only gasification technology?
11) I don’t find any proposal of the green city as per title.",21.0,A Comparative  Study on  WtE Technologies  with  a Proposal  of  a  Green City  in Perspective of  a Developing Country,"Energy  security,  Environmental  cleanliness,  WtE technology,  Bangladesh,  Gasification,  Green-smart  city.","Currently,  energy  security  and  environmental cleanliness  is  becoming  an  important  concern  to  the  civilized world  due  to  increasing  population  and  global  warming,  which motiving  the  researcher  towards  finding  the  alternative  energy resources  instead  of  traditional  energy  source  for  power generation.  Now,  Waste-to-Energy  technology  (WtE)  has  earned a  great  deal  of  attention  in  developed  countries  such  as  USA, Malaysia,  Venezuela  and  Canada  for  effective  waste  management system.  It  can  also  be  used  to  address  the  energy  problems  in developing  countries  like  Bangladesh.  Even  though  there  are several  methods  of  WtE  technologies  but  still  finding  a  suitable technology  is  a  bargaining  issue.  Therefore,  this  study  aiming  at finding  more  suitable  and  effective  method  among  WtE technologies  in  perspective  of  our  country  economy,  energy efficiency,  and  environmental  aspects  that  can  sustain  with  our future  energy  demand.  The  study  result  shows  that  the Gasification-based  WtE  technology  is  the  more  suitable  method because  of  its  operation  flexibility,  lower  cost,  higher  efficiency, less  greenhouse  (GHG)  emissions,  and  simplicity  in  design.  Thus, the  energy  produced  in  this  method  can  contribute  significantly to  reduce  our  electricity  shortage  with  effective  waste management  system  and  can  be  a  building-block  of  a  greensmart  city.",0
2476,9375,"The following issues need to be addressed:
1) There are several spelling mistakes and grammatical mistakes throughout the text.
2) Some of the references are not correctly formatted.
3) Some of the equations are not clear and are illegible.
4) A more detailed literature review needs to be included.",14.0,A Comparative  Study on  WtE Technologies  with  a Proposal  of  a  Green City  in Perspective of  a Developing Country,"Energy  security,  Environmental  cleanliness,  WtE technology,  Bangladesh,  Gasification,  Green-smart  city.","Currently,  energy  security  and  environmental cleanliness  is  becoming  an  important  concern  to  the  civilized world  due  to  increasing  population  and  global  warming,  which motiving  the  researcher  towards  finding  the  alternative  energy resources  instead  of  traditional  energy  source  for  power generation.  Now,  Waste-to-Energy  technology  (WtE)  has  earned a  great  deal  of  attention  in  developed  countries  such  as  USA, Malaysia,  Venezuela  and  Canada  for  effective  waste  management system.  It  can  also  be  used  to  address  the  energy  problems  in developing  countries  like  Bangladesh.  Even  though  there  are several  methods  of  WtE  technologies  but  still  finding  a  suitable technology  is  a  bargaining  issue.  Therefore,  this  study  aiming  at finding  more  suitable  and  effective  method  among  WtE technologies  in  perspective  of  our  country  economy,  energy efficiency,  and  environmental  aspects  that  can  sustain  with  our future  energy  demand.  The  study  result  shows  that  the Gasification-based  WtE  technology  is  the  more  suitable  method because  of  its  operation  flexibility,  lower  cost,  higher  efficiency, less  greenhouse  (GHG)  emissions,  and  simplicity  in  design.  Thus, the  energy  produced  in  this  method  can  contribute  significantly to  reduce  our  electricity  shortage  with  effective  waste management  system  and  can  be  a  building-block  of  a  greensmart  city.",0
2478,9379,"Dear Authors,
Your Paper is on: Comparative Study on WtE Technologies with a Proposal of a Green City in Perspective of a Developing Country
The paper is well written. 
Thank you.",24.0,A Comparative  Study on  WtE Technologies  with  a Proposal  of  a  Green City  in Perspective of  a Developing Country,"Energy  security,  Environmental  cleanliness,  WtE technology,  Bangladesh,  Gasification,  Green-smart  city.","Currently,  energy  security  and  environmental cleanliness  is  becoming  an  important  concern  to  the  civilized world  due  to  increasing  population  and  global  warming,  which motiving  the  researcher  towards  finding  the  alternative  energy resources  instead  of  traditional  energy  source  for  power generation.  Now,  Waste-to-Energy  technology  (WtE)  has  earned a  great  deal  of  attention  in  developed  countries  such  as  USA, Malaysia,  Venezuela  and  Canada  for  effective  waste  management system.  It  can  also  be  used  to  address  the  energy  problems  in developing  countries  like  Bangladesh.  Even  though  there  are several  methods  of  WtE  technologies  but  still  finding  a  suitable technology  is  a  bargaining  issue.  Therefore,  this  study  aiming  at finding  more  suitable  and  effective  method  among  WtE technologies  in  perspective  of  our  country  economy,  energy efficiency,  and  environmental  aspects  that  can  sustain  with  our future  energy  demand.  The  study  result  shows  that  the Gasification-based  WtE  technology  is  the  more  suitable  method because  of  its  operation  flexibility,  lower  cost,  higher  efficiency, less  greenhouse  (GHG)  emissions,  and  simplicity  in  design.  Thus, the  energy  produced  in  this  method  can  contribute  significantly to  reduce  our  electricity  shortage  with  effective  waste management  system  and  can  be  a  building-block  of  a  greensmart  city.",0
2482,9388,"The topic is interesting and well formulated. However, you need to improve the following points:

You need to rewrite your abstract and need to conclude it with experimental results.
paper orientation is missing at the end of introduction. Like Rest of the paper is organized as follows. Chapter 2 presents literature review...
At the starting your proposed model, you can add a detail block diagram. 
Most of the figure is so poor. Specially Figure 1: Flowchar is blur
Wrong figure no.. See Figure 2 used twice and then Figure 5!!!
see the last line of G. Comparative Analysis of the Accuracy....Error! Reference source not found. 
Conclusion should also need to rewrite with your model and need to conclude with experimental result and comparison information.
IEEE Reference format should follow
",21.0,Boosting Neuro Evolutionary Techniques for Speech Recognition,"Genetic algorithm, Speech recognition, Deep neural network, Hyper parameter, Neuro Evolution","For long many years, various speech signal processing techniques have been experimented and optimized using expectation maximization, gradient descent optimization or their variations across end-to-end speech feature extraction and recognition scheme, but the result was below the satisfactory limit despite multitude of time, cost and effort have been invested. Very recently, huge improvement of computing power of devices made it possible to use complex multi-layered neural network technologies (i.e. deep learning or deep neural network) such as convolutional net, long short term memory, bidirectional recurrent neural network as well as complex statistical or evolutionary strategies and its variations to optimize further the results reducing the error rates. This paper emphasizes on how to devise an efficient technique that would reduce the time, cost and complexity over the deep learning methods with the guidance of genetic algorithm (GA) through intelligently choosing hyper-parameters of the networks. It has been experimented that series of iterations to estimate and re-estimate the hyper-parameters can lead to a better and optimal solution with extremely less time and cost.",1
2483,9459,"The article, “Boosting Neuro Evolutionary Techniques for Speech Recognition”, proposed a technique for speech recognition based on deep learning methods. This is a good motivation to write a paper, however, the paper is not well written and well structured.  The authors’ did not mention the outcome in the abstract and conclusion. Moreover, most of the figures are not good enough to observe.",21.0,Boosting Neuro Evolutionary Techniques for Speech Recognition,"Genetic algorithm, Speech recognition, Deep neural network, Hyper parameter, Neuro Evolution","For long many years, various speech signal processing techniques have been experimented and optimized using expectation maximization, gradient descent optimization or their variations across end-to-end speech feature extraction and recognition scheme, but the result was below the satisfactory limit despite multitude of time, cost and effort have been invested. Very recently, huge improvement of computing power of devices made it possible to use complex multi-layered neural network technologies (i.e. deep learning or deep neural network) such as convolutional net, long short term memory, bidirectional recurrent neural network as well as complex statistical or evolutionary strategies and its variations to optimize further the results reducing the error rates. This paper emphasizes on how to devise an efficient technique that would reduce the time, cost and complexity over the deep learning methods with the guidance of genetic algorithm (GA) through intelligently choosing hyper-parameters of the networks. It has been experimented that series of iterations to estimate and re-estimate the hyper-parameters can lead to a better and optimal solution with extremely less time and cost.",1
2486,8981,"The paper presents a sEMG-based hand movement recognition scheme using SVM classifier. The paper used the dataset from Ref [26].  The paper is not generally well-written and need major improvement in light of the following comments:

Please modify the paper title – ‘RBF kernel’ need not to be mentioned in the title as it is just a property of SVM.
Please revise Section I for smooth flow of discussion. Introduce sEMG and then discuss only about the researches relevant to your work in a logical manner. Please avoid this type of sentence: “One research has focused on developing an artificial thumb which is claimed to be a challenging task.”- this is irrational as there are many such researches available in the literature. Towards the end of introduction (Section I), mention about the gap in literature that you are going to address or the objectives of your research and discuss in a justified manner how you are going to achieve them. Also, discuss about the structure of the paper.
1 (on first page) is difficult to understand. As you have mentioned that you obtained the dataset from ref [26], please replace this figure with Fig. 1 of ref [26] and cite ref [26] in the figure caption. Also, follow the hand movement sequence presented in ref [26] in figure captions and related discussions (i.e. throughout the paper).
In Table 1, provide the number of data acquisition channels.
1 is used twice. In the Fig. 1 (under ‘Signal pre-processing’ subsection), create a column on the left to provide name of the hand movements.
The Equation for waveform length (WL) should be corrected – ‘j-1’ should be replaced by ‘k=1’.
Please correct the equation for AR model – you have defined the subscript incorrectly.
Elaborate ‘RBF’ at the first instance.
While numbering the tables, Table 2 is skipped. Please fix the table numbering.
In Table 3, why each class has only 10 test samples? If the remaining samples (20) of each class are used for training the SVM, then this should be mentioned in the beginning of this section.
In Section V, correct the equation for accuracy: replace ‘Accuracy equation for confusion matrix’ by ‘Accuracy’ and express in % by multiplying 100.
The classification results and comparison (Fig.6 and Table 6) are not convincing. The authors should present classification results for combined feature, i.e. combining MAV, AR and WL into one feature vector as they have complementary capability in class separation. Did the authors perform classification with the other classifiers (KNN, random Forest, Naïve Bayes) themselves or collected the results from the literature? For this type of comparison, the sample database should be the same. The critical parameters related to the classifiers should be mentioned clearly.
Please revise Section VI (conclusion). It is mentioned “Recording more data from more people would increase the accuracy a bit more.” – explain how the accuracy can be improved while you are treating each subject individually.
There are lot of formatting and grammatical errors. Please check and correct all of them. For correction, some suggestions are provided here:

“For prosthetic arm design their pattern recognition is necessitated.” Should be corrected as “For prosthetic arm design, their pattern recognition is necessary.”
“Each trial contains 3000 points of signal” should be corrected as “Each signal contains 3000 time samples”
“SVM rbf kernel has been chosen as classifier” should be corrected as “SVM with RBF kernel has been chosen as classifier”


",17.0,Hand Movement Recognition Using sEMG Signal by Support Vector Machine RBF Kernel Classifier,"EMG, sEMG, Time-domain features, Machine Learning, SVM, KNN, Pattern Recognition","Surface Electromyography (sEMG) is extensively used for the assessment of electrical activity of the limbs of human body. Using the sEMG signal hand movement recognition is conducted. Such recognition is necessitated in biomedical research as they are used to design & develop prosthetic arms also. Many health care features as well as human robot interface devices require proper hand movement recognition as they provide robot with different control signals. In this paper, an efficient approach has been demonstrated, where time domain features: Mean Absolute Variation (MAV), Autoregressive Coefficients (AR), Waveform Length (WL) have been extracted from raw sEMG data. To implement the pattern recognition successfully, a popular machine learning technique: Support Vector Machine (SVM) has been adapted. It turned out to be more efficient than other classifiers like: K-Nearest Neighbors, Random Forest, Naive Bayes. SVM radial basis function kernel has classified the three aforementioned features with around 93%, 87% and 78 % accuracy respectively.",0
2487,9196,"The paper presented the SVM classification with RBF kernel as a method for recognising the features of EMG signals of hand movement. The classification using SVM with the suggested RBF kernel showed better detection accuracy than the other classifiers for only one feature (MAV).
The manuscript is to be revised for grammatical errors. Some paragraphs are to paraphrased as there are some hanging sentences in the results and conclusion sections. The following points are to be considered:

Add equation numbers to all equations in the manuscript for easier tracing.
Define the variables of all equations respectively as not all parameters are introduced well
The equation representing AR feature has an error in the summation index. n is not used within the equation, and the use of p is not clear (i-1 instead of p).
Use the same legends key symbols in all the figures (if possible) for simpler visual comparison.
All the acronyms should be used in the same way along the context (RFB not rfb). Once the acronym is defined the full term is not to be used again. 
The constrain in the second equation of SVM that represents the negative result y=-1 should be exactly less than 1 not ≤1.
The linear kernel function and the RFB kernel are to be rewritten clearly.
Caption format is to be revised for Table 1, 3, and 6.
There is no Table 2.
The table presents the results of only 10 measurements while it was stated that the experiment was repeated 30 times.
What kind of statistical test is used for testing the significance of the difference.
Why is it clear that MAV is more informative while the study is about the accurate detection?
The results of KNN, SVM linear kernel, Random forest, and naive bayes are not provided for comparison. If the results are taken from the original research that provided the dataset refer to that in the discussion. 
The table presents the results of only 10 measurements while it was stated that the experiment was repeated 30 times.
The references order is mixed up in the manuscript. It is advised to rearrange the references to follow how they appear in the context.
Ref. [12, 19, 20] are not used in the manuscript.
",21.0,Hand Movement Recognition Using sEMG Signal by Support Vector Machine RBF Kernel Classifier,"EMG, sEMG, Time-domain features, Machine Learning, SVM, KNN, Pattern Recognition","Surface Electromyography (sEMG) is extensively used for the assessment of electrical activity of the limbs of human body. Using the sEMG signal hand movement recognition is conducted. Such recognition is necessitated in biomedical research as they are used to design & develop prosthetic arms also. Many health care features as well as human robot interface devices require proper hand movement recognition as they provide robot with different control signals. In this paper, an efficient approach has been demonstrated, where time domain features: Mean Absolute Variation (MAV), Autoregressive Coefficients (AR), Waveform Length (WL) have been extracted from raw sEMG data. To implement the pattern recognition successfully, a popular machine learning technique: Support Vector Machine (SVM) has been adapted. It turned out to be more efficient than other classifiers like: K-Nearest Neighbors, Random Forest, Naive Bayes. SVM radial basis function kernel has classified the three aforementioned features with around 93%, 87% and 78 % accuracy respectively.",0
2488,8999,"The authors have done a project using Arduino. I have the following questions

How did you optimize the circuit?
Is it the author's own design? or implementation? What is your contribution? 
Paper is not written in IEEE format
",14.0,Development of Smart Aquarium Using Arduino,"Smart home, Arduino","This paper proposes a digital system for maintaining
and managing an automated fish aquarium system. Fish
keeping is a popular trend nowadays; almost people from all the
age groups like to keep fish in their home, offices etc. for
decoration purpose or as a hobby. Fish keeping is itself an
industry which comes in agriculture. Therefore its important to
automate aquariums/ponds as it is difficult to check the
conditions of an aquarium manually. During periodic intervals,
water needs to be changed, the fish needs to be fed,
temperature and water level of the aquarium needs to be
maintained. In this paper, Development of Smart Aquarium
Using Arduino does the nourishing itself consistently, monitors
the temperature of the aquarium and furthermore monitors the
turbidity level and change the water automatically by using
Arduino, sensors, motors, water pumps and so on.",0
